Circuit ID,Source of ID,Names
Br,DHBA,brain
N,collection,Oculomotor nuclei (ROI2)
BN_out,collection,output of basal ganglia
brainstem,collection,brainstem
F,DHBA,forebrain (prosencephalon)
FGM,DHBA,gray matter of forebrain
FTS,DHBA,transient structures of forebrain
SG,DHBA,subpial granular zone
fSG,DHBA,SG in frontal neocortex
fSGfp,DHBA,SG in frontal polar cortex
fSGdm,DHBA,SG in dorsomedial frontal cortex
fSGdl,DHBA,SG in dorsolateral prefrontal cortex
fSGvl,DHBA,SG in ventrolateral prefrontal cortex
fSGor,DHBA,SG in orbital frontal cortex
fSGm1,DHBA,SG in posterior frontal cortex (motor cortex)
pSG,DHBA,SG in parietal neocortex
pSGs1,DHBA,SG in primary somatosensory cortex
pSGdm,DHBA,SG in dorsomedial parietal cortex (area 7m)
pSGpd,DHBA,SG in posterosuperior (dorsal) parietal cortex
pSGpv,DHBA,SG in posteroinferior (ventral) parietal cortex
tSG,DHBA,SG in temporal neocortex
tSGdl,DHBA,SG in dorsolateral temporal cortex
tSGa1,DHBA,SG in primary auditory cortex
tSGsl,DHBA,SG in superolateral temporal cortex
tSGps,DHBA,SG in polysensory temporal cortex
tSGpi,DHBA,SG in parainsular temporal cortex
tSGvl,DHBA,SG in ventrolateral temporal cortex
tSGml,DHBA,SG in midlateral temporal cortex
tSGil,DHBA,SG in inferolateral temporal cortex
tSGmi,DHBA,SG in midinferior temporal cortex
tSG36,DHBA,SG in rostral midinferior temporal cortex (area 36)
tSGtf,DHBA,SG in caudal midinferior temporal cortex (area TF)
tSGph,DHBA,SG in posterior parahippocampal cortex
tSGmt,DHBA,SG in medial temporal-occipital cortex
tSGlt,DHBA,SG in lateral temporal-occipital cortex
tSGtp,DHBA,SG in temporal polar cortex
oSG,DHBA,SG in occipital neocortex
oSGpro,DHBA,SG in area prostriata
oSGv1,DHBA,SG in primary visual cortex
oSGexs,DHBA,SG in extrastriate cortex
oSGdm,DHBA,SG in dorsomedial extrastriate cortex (V2)
oSGvm,DHBA,SG in ventromedial extrastriate cortex (VP)
oSGml,DHBA,SG in midlateral extrastriate cortex (area 19)
iSG,DHBA,SG in insular neocortex
iSGdg,DHBA,SG in dysgranular insular cortex
iSGg,DHBA,SG in granular insular cortex
cSG,DHBA,SG in cingulate neocortex
cSGr,DHBA,SG in rostral cingulate cortex
cSGmi,DHBA,SG in midcingulate cortex
cSGc,DHBA,SG in caudal cingulate cortex
cSGsg,DHBA,SG in subgenual (subcallosal) cingulate cortex
peSG,DHBA,SG in periallocortex
SGPC,DHBA,SG in perirhinal cortex
SGpcr,DHBA,SG in rostral perirhinal cortex
SGpcc,DHBA,SG in caudal perirhinal cortex
SGpas,DHBA,SG in parasubicular cortex
SGec,DHBA,SG in entorhinal cortex
SGecl,DHBA,SG in lateral (anterior) entorhinal cortex
SGEo,DHBA,SG in olfactory entorhinal cortex
SGEr,DHBA,SG in rostral entorhinal cortex
SGecm,DHBA,SG in medial (posterior) entorhinal cortex
SGEc,DHBA,SG in caudal entorhinal cortex
SGprs,DHBA,SG in presubicular cortex
SGprsr,DHBA,SG in rostral presubicular cortex
SGprsc,DHBA,SG in caudal presubicular cortex
SGrs,DHBA,SG in retrosplenial cortex
SGIag,DHBA,SG in agranular insular cortex
alSG,DHBA,SG in allocortex
SGhip,DHBA,SG in hippocampal proper
SGsub,DHBA,SG in subicular cortex
SGpir,DHBA,SG in piriform cortex
SGiag,DHBA,SG in agranular insular cortex
MZ,DHBA,marginal zone
fMZ,DHBA,MZ in frontal neocortex
fMZfp,DHBA,MZ in frontal polar cortex
fMZdm,DHBA,MZ in dorsomedial frontal cortex
fMZdl,DHBA,MZ in dorsolateral prefrontal cortex
fMZvl,DHBA,MZ in ventrolateral prefrontal cortex
fMZor,DHBA,MZ in orbital frontal cortex
fMZm1,DHBA,MZ in posteror frontal cortex (motor cortex)
pMZ,DHBA,MZ in parietal neocortex
pMZs1,DHBA,MZ in primary somatosensory cortex
pMZdm,DHBA,MZ in dorsomedial parietal cortex
pMZpd,DHBA,MZ in posterodorsal (superior) parietal cortex
pMZpv,DHBA,MZ in posteroventral (inferior) parietal cortex
tMZ,DHBA,MZ in temporal neocortex
tMZdl,DHBA,MZ in dorsolateral temporal cortex
tMZa1,DHBA,MZ in primary auditory cortex
tMZsl,DHBA,MZ in superolateral temporal cortex
tMZps,DHBA,MZ in polysensory temporal cortex
tMZpi,DHBA,MZ in parainsular temporal cortex
tMZvl,DHBA,MZ in ventrolateral temporal cortex
tMZml,DHBA,MZ in midlateral temporal cortex
tMZil,DHBA,MZ in inferolateral temporal cortex
tMZmi,DHBA,MZ in midinferior temporal cortex
tMZ36,DHBA,MZ in rostral midinferior temporal cortex (area 36)
tMZtf,DHBA,MZ in caudal midinferior temporal cortex (area TF)
tMZph,DHBA,MZ in posterior parahippocampal cortex
tMZmt,DHBA,MZ in medial temporal-occipital cortex
tMZlt,DHBA,MZ in lateral temporal-occipital cortex
tMZtp,DHBA,MZ in temporal polar cortex
oMZ,DHBA,MZ in occipital neocortex
oMZpro,DHBA,MZ in area prostriata
oMZv1,DHBA,MZ in primary visual cortex
oMZexs,DHBA,MZ in extrastriate cortex
oMZdm,DHBA,MZ in dorsomedial extrastriate cortex (V2)
oMZvm,DHBA,MZ in ventromedial extrastriate cortex (VP)
oMZml,DHBA,MZ in midlateral extrastriate cortex (area 19)
iMZ,DHBA,MZ in insular neocortex
iMZdg,DHBA,MZ in dysgranular insular cortex
iMZgr,DHBA,MZ in granular insular cortex
cMZ,DHBA,MZ in cingulate neocortex
cMZr,DHBA,MZ in rostral cingulate cortex
cMZmi,DHBA,MZ in midcingulate cortex
cMZc,DHBA,MZ in caudal cingulate cortex
cMZsg,DHBA,MZ in subgenual (subcallosal) cingulate cortex
peMZ,DHBA,MZ in periallocortex
MZpc,DHBA,MZ in perirhinal cortex
MZpcr,DHBA,MZ in rostral perirhinal cortex
MZpcc,DHBA,MZ in caudal perirhinal cortex
MZpas,DHBA,MZ in parasubicular cortex
MZEC,DHBA,MZ in entorhinal cortex
MZlec,DHBA,MZ in lateral (anterior) entorhinal cortex
MZeo,DHBA,MZ in olfactory entorhinal cortex
Mzer,DHBA,MZ in rostral entorhinal cortex
MZmec,DHBA,MZ in medial (posterior) entorhinal cortex
